epoch,train_loss,val_loss
1,0.9780272342264652,1.9126450665295125
2,0.8465571771326817,1.8250249166041612
3,0.7972228244731301,1.756404847279191
4,0.7673978731428323,1.6977281894534826
5,0.7497215446280806,1.6727081380784512
6,0.737704573846177,1.654566327854991
7,0.7254265365631957,1.66210152246058
8,0.7186644301602715,1.5992602903395892
9,0.7102890547561018,1.6421350743621588
10,0.7043114270818861,1.6111123364418745
11,0.6995844877472049,1.5888117276132108
12,0.6916637098318652,1.5759325183928012
13,0.6885333228268121,1.561359018087387
14,0.6838549401807158,1.5396543934941291
15,0.6791604482421749,1.5568356242030859
