epoch,train_loss,val_loss
1,0.9780272342264652,1.9126450665295125
2,0.8465571771326817,1.8250249166041612
3,0.7972228244731301,1.756404847279191
4,0.7673978731428323,1.6977281894534826
5,0.7497215446280806,1.6727081380784512
6,0.737704573846177,1.654566327854991
7,0.7254265365631957,1.66210152246058
8,0.7186644301602715,1.5992602903395892
9,0.7102890547561018,1.6421350743621588
10,0.7043114270818861,1.6111123364418745
11,0.6995844877472049,1.5888117276132108
12,0.6916637098318652,1.5759325183928012
13,0.6885333228268121,1.561359018087387
14,0.6838549401807158,1.5396543934941291
15,0.6791604482421749,1.5568356242030859
16,0.6742313044243737,1.5533000893890858
17,0.6699351440919074,1.549361278489232
18,0.665077562590963,1.5528104808181524
19,0.65564171613047,1.5530863109976054
20,0.6522072531675037,1.5486843388527631
21,0.6490937907836939,1.567223234474659
22,0.6473719198844935,1.528353600949049
23,0.6440061379812265,1.5446967896074058
24,0.64068300849513,1.5298550054430962
25,0.6372195032082106,1.5091450918465852
26,0.6357544244119996,1.539466929063201
27,0.6334011284536437,1.5173388719558716
28,0.6295331179703537,1.534727342799306
29,0.6275457739437881,1.5257881741970778
30,0.6200035442647182,1.5274109356105328
